episode,reward,epsilon,mode
58000,-30.75,0.3198025833641541,easy
58100,-35.22,0.31916361099304436,easy
58200,-32.95,0.3185259153023375,easy
58300,-37.71,0.31788949374119896,easy
58400,-32.48,0.31725434376389117,easy
58500,-34.6,0.31662046282976225,easy
58600,-38.33,0.3159878484032369,easy
58700,-32.06,0.31535649795380605,easy
58800,-31.86,0.3147264089560166,easy
58900,-31.92,0.3140975788894609,easy
59000,-30.04,0.3134700052387679,easy
59100,-38.96,0.3128436854935919,easy
59200,-36.77,0.31221861714860266,easy
59300,-37.4,0.31159479770347664,easy
59400,-29.97,0.3109722246628849,easy
59500,-34.52,0.31035089553648476,easy
59600,-37.77,0.309730807838909,easy
59700,-34.39,0.3091119590897567,easy
59800,-34.39,0.3084943468135822,easy
59900,-39.67,0.3078779685398862,easy
60000,-29.31,0.3072628218031057,easy
60100,-34.02,0.3066489041426036,easy
60200,-35.84,0.30603621310265905,easy
60300,-35.84,0.3054247462324585,easy
60400,-38.19,0.3048145010860845,easy
60500,-32.62,0.30420547522250685,easy
60600,-37.72,0.30359766620557266,easy
60700,-38.46,0.30299107160399646,easy
60800,-34.3,0.30238568899135077,easy
60900,-35.9,0.3017815159460548,easy
61000,-32.52,0.3011785500513684,easy
61100,-33.46,0.3005767888953784,easy
61200,-36.66,0.2999762300709912,easy
61300,-31.44,0.2993768711759227,easy
61400,-32.13,0.298778709812689,easy
61500,-33.2,0.29818174358859595,easy
61600,-31.66,0.2975859701157296,easy
61700,-33.56,0.29699138701094774,easy
61800,-30.93,0.2963979918958698,easy
61900,-30.97,0.2958057823968667,easy
62000,-35.03,0.29521475614505305,easy
62100,-35.81,0.2946249107762749,easy
62200,-31.52,0.29403624393110306,easy
62300,-34.59,0.2934487532548223,easy
62400,-36.36,0.2928624363974224,easy
62500,-37.13,0.29227729101358785,easy
62600,-28.2,0.2916933147626894,easy
62700,-31.44,0.2911105053087751,easy
62800,-32.53,0.2905288603205599,easy
62900,-32.72,0.2899483774714158,easy
63000,-38.33,0.28936905443936467,easy
63100,-30.62,0.2887908889070667,easy
63200,-36.32,0.28821387856181335,easy
63300,-38.4,0.28763802109551595,easy
63400,-38.14,0.287063314204698,easy
63500,-36.31,0.28648975559048506,easy
63600,-25.92,0.2859173429585957,easy
63700,-31.46,0.2853460740193336,easy
63800,-33.01,0.2847759464875763,easy
63900,-33.02,0.2842069580827674,easy
64000,-38.57,0.28363910652890634,easy
64100,-37.34,0.2830723895545413,easy
64200,-39.11,0.28250680489275826,easy
64300,-36.69,0.2819423502811721,easy
64400,-24.83,0.2813790234619191,easy
64500,-31.69,0.2808168221816457,easy
64600,-37.42,0.28025574419150107,easy
64700,-32.95,0.2796957872471277,easy
64800,-30.16,0.2791369491086525,easy
64900,-38.61,0.27857922754067765,easy
65000,-34.77,0.27802262031227093,easy
65100,-36.76,0.2774671251969585,easy
65200,-30.51,0.2769127399727146,easy
65300,-29.57,0.2763594624219533,easy
65400,-34.33,0.27580729033151946,easy
65500,-32.86,0.27525622149267936,easy
65600,-31.06,0.2747062537011133,easy
65700,-37.11,0.2741573847569051,easy
65800,-36.1,0.27360961246453414,easy
65900,-32.09,0.2730629346328677,easy
66000,-36.33,0.27251734907514913,easy
66100,-33.88,0.271972853608992,easy
66200,-33.43,0.27142944605637,easy
66300,-39.7,0.27088712424360895,easy
66400,-33.64,0.27034588600137766,easy
66500,-39.52,0.26980572916467893,easy
66600,-38.01,0.26926665157284135,easy
66700,-32.83,0.268728651069511,easy
66800,-26.18,0.2681917255026415,easy
66900,-36.76,0.2676558727244879,easy
67000,-42.03,0.26712109059159456,easy
67100,-29.3,0.26658737696478957,easy
67200,-35.98,0.26605472970917565,easy
67300,-36.88,0.26552314669412025,easy
67400,-36.37,0.2649926257932479,easy
67500,-25.19,0.26446316488443145,easy
67600,-31.92,0.263934761849785,easy
67700,-33.05,0.263407414575653,easy
67800,-29.59,0.2628811209526033,easy
67900,-27.73,0.2623558788754188,easy
68000,-37.78,0.2618316862430885,easy
68100,-29.88,0.2613085409587992,easy
68200,-31.17,0.26078644092992764,easy
68300,-29.96,0.2602653840680304,easy
68400,-42.21,0.25974536828883793,easy
68500,-31.08,0.2592263915122451,easy
68600,-36.23,0.25870845166230216,easy
68700,-35.23,0.2581915466672082,easy
68800,-33.2,0.2576756744593009,easy
68900,-37.59,0.25716083297504966,easy
69000,-34.95,0.2566470201550463,easy
69100,-35.83,0.2561342339439978,easy
69200,-35.68,0.2556224722907184,easy
69300,-35.02,0.2551117331481189,easy
69400,-42.06,0.2546020144732016,easy
69500,-36.96,0.25409331422704995,easy
69600,-34.9,0.2535856303748217,easy
69700,-27.09,0.25307896088574044,easy
69800,-36.97,0.2525733037330868,easy
