WORD       | FINAL    | ENTROPY  | PROB MASS
party      | 5.8655   | 5.0037   | 0.8618
giant      | 5.8653   | 5.0685   | 0.7968
heron      | 5.8652   | 5.1649   | 0.7003
alive      | 5.8628   | 5.0682   | 0.7946
payer      | 5.8625   | 5.1663   | 0.6962
acorn      | 5.8586   | 5.1516   | 0.7070
scant      | 5.8581   | 5.2084   | 0.6497
stand      | 5.8573   | 5.0277   | 0.8296
stead      | 5.8561   | 5.1923   | 0.6638
stray      | 5.8552   | 5.1487   | 0.7065
cider      | 5.8549   | 5.1500   | 0.7049
rouge      | 5.8535   | 5.0954   | 0.7581
scone      | 5.8529   | 5.2508   | 0.6021
chose      | 5.8524   | 5.0774   | 0.7750
mouse      | 5.8513   | 5.0317   | 0.8196
recap      | 5.8505   | 5.1237   | 0.7268
salty      | 5.8499   | 5.1623   | 0.6876
ocean      | 5.8484   | 5.0305   | 0.8179
crave      | 5.8480   | 5.1603   | 0.6877
rifle      | 5.8471   | 5.0966   | 0.7505
tapir      | 5.8464   | 5.2918   | 0.5546
spade      | 5.8462   | 5.1461   | 0.7001
horde      | 5.8452   | 5.1160   | 0.7292
cease      | 5.8442   | 5.1024   | 0.7418
glade      | 5.8429   | 5.1564   | 0.6865
miner      | 5.8429   | 5.1263   | 0.7166
smite      | 5.8415   | 5.2271   | 0.6144
artsy      | 5.8398   | 5.2146   | 0.6252
brute      | 5.8383   | 5.1499   | 0.6884
relic      | 5.8372   | 5.1606   | 0.6766
sweat      | 5.8366   | 5.0903   | 0.7463
phone      | 5.8342   | 4.9582   | 0.8760
decor      | 5.8340   | 5.0496   | 0.7844
bread      | 5.8326   | 5.0440   | 0.7886
boast      | 5.8323   | 5.1431   | 0.6892
prune      | 5.8313   | 5.1700   | 0.6613
crude      | 5.8312   | 5.0801   | 0.7511
eclat      | 5.8282   | 5.2547   | 0.5735
terse      | 5.8268   | 5.2092   | 0.6176
north      | 5.8264   | 4.9544   | 0.8720
fetal      | 5.8261   | 5.0955   | 0.7306
ideal      | 5.8252   | 5.0140   | 0.8112
satyr      | 5.8247   | 5.2458   | 0.5789
decal      | 5.8244   | 5.1069   | 0.7175
sepia      | 5.8234   | 5.1585   | 0.6649
comet      | 5.8230   | 5.0926   | 0.7304
reign      | 5.8226   | 5.0872   | 0.7354
craft      | 5.8226   | 5.0270   | 0.7956
crust      | 5.8212   | 5.1046   | 0.7166
first      | 5.8195   | 4.9256   | 0.8939
roach      | 5.8181   | 5.0890   | 0.7291
elite      | 5.8178   | 5.0317   | 0.7861
afire      | 5.8173   | 5.2482   | 0.5691
solid      | 5.8164   | 4.9934   | 0.8230
snipe      | 5.8154   | 5.1779   | 0.6375
plait      | 5.8150   | 5.2511   | 0.5639
delay      | 5.8144   | 5.0090   | 0.8054
molar      | 5.8141   | 5.1556   | 0.6585
bleat      | 5.8133   | 5.2314   | 0.5819
three      | 5.8111   | 4.9385   | 0.8726
crept      | 5.8104   | 5.1568   | 0.6536
spelt      | 5.8083   | 5.1701   | 0.6382
barge      | 5.8070   | 5.1148   | 0.6922
board      | 5.8059   | 4.9345   | 0.8714
carve      | 5.8052   | 5.1283   | 0.6769
smote      | 5.8029   | 5.1874   | 0.6155
rogue      | 5.8028   | 5.0563   | 0.7465
bride      | 5.8027   | 5.0309   | 0.7718
lower      | 5.8025   | 4.9595   | 0.8430
abuse      | 5.8022   | 4.9802   | 0.8220
noble      | 5.8017   | 5.0158   | 0.7859
unset      | 5.8016   | 5.1208   | 0.6808
sugar      | 5.7977   | 4.9915   | 0.8062
pilot      | 5.7963   | 4.9909   | 0.8054
tidal      | 5.7958   | 5.0792   | 0.7166
snide      | 5.7956   | 5.1877   | 0.6079
diary      | 5.7946   | 5.0026   | 0.7920
dairy      | 5.7927   | 5.0203   | 0.7724
taste      | 5.7923   | 4.9951   | 0.7972
entry      | 5.7922   | 4.9462   | 0.8460
blame      | 5.7916   | 5.0220   | 0.7696
salve      | 5.7914   | 5.1542   | 0.6372
swore      | 5.7905   | 5.1310   | 0.6595
abort      | 5.7903   | 5.0902   | 0.7001
raven      | 5.7897   | 5.0427   | 0.7470
front      | 5.7896   | 4.9374   | 0.8522
scope      | 5.7872   | 4.9797   | 0.8075
pedal      | 5.7860   | 5.0476   | 0.7384
count      | 5.7858   | 4.9605   | 0.8253
baron      | 5.7846   | 5.0492   | 0.7354
model      | 5.7816   | 4.9170   | 0.8646
there      | 5.7815   | 4.8837   | 0.8978
hairy      | 5.7808   | 4.9802   | 0.8006
serif      | 5.7793   | 5.0659   | 0.7134
steel      | 5.7768   | 4.9452   | 0.8316
daily      | 5.7749   | 4.9214   | 0.8535
trove      | 5.7744   | 5.1122   | 0.6622
ulcer      | 5.7740   | 5.0813   | 0.6927
miser      | 5.7739   | 5.1696   | 0.6043
track      | 5.7726   | 4.9175   | 0.8551
brake      | 5.7709   | 4.9963   | 0.7746
gamer      | 5.7700   | 5.0392   | 0.7308
towel      | 5.7683   | 5.0189   | 0.7494
cameo      | 5.7672   | 5.0686   | 0.6986
shoal      | 5.7670   | 5.1284   | 0.6386
harem      | 5.7660   | 5.1273   | 0.6387
facet      | 5.7653   | 5.0767   | 0.6886
guest      | 5.7644   | 4.9294   | 0.8350
probe      | 5.7643   | 4.9884   | 0.7759
eaten      | 5.7630   | 5.0287   | 0.7343
sleet      | 5.7611   | 5.1405   | 0.6206
title      | 5.7609   | 4.8914   | 0.8695
rayon      | 5.7600   | 5.0840   | 0.6760
flair      | 5.7595   | 5.0502   | 0.7093
loath      | 5.7592   | 5.1749   | 0.5843
waist      | 5.7582   | 5.0079   | 0.7503
ripen      | 5.7582   | 5.1617   | 0.5965
flier      | 5.7562   | 5.1066   | 0.6496
guile      | 5.7560   | 5.0756   | 0.6804
value      | 5.7556   | 4.8880   | 0.8676
lithe      | 5.7536   | 5.1752   | 0.5784
float      | 5.7524   | 4.9799   | 0.7725
avert      | 5.7522   | 5.0857   | 0.6665
repay      | 5.7518   | 5.0468   | 0.7050
intro      | 5.7515   | 4.9676   | 0.7839
solve      | 5.7510   | 4.9628   | 0.7882
ankle      | 5.7472   | 5.0047   | 0.7425
ridge      | 5.7467   | 4.9522   | 0.7945
ounce      | 5.7465   | 5.0140   | 0.7325
hoist      | 5.7454   | 5.0710   | 0.6744
scary      | 5.7445   | 4.9900   | 0.7545
strip      | 5.7437   | 4.9437   | 0.8000
skier      | 5.7436   | 5.0714   | 0.6722
ranch      | 5.7436   | 4.9643   | 0.7793
groan      | 5.7435   | 5.1007   | 0.6428
under      | 5.7434   | 4.8628   | 0.8806
filet      | 5.7430   | 5.0927   | 0.6503
split      | 5.7420   | 4.9397   | 0.8023
chest      | 5.7411   | 4.9527   | 0.7884
sharp      | 5.7408   | 4.9311   | 0.8097
piano      | 5.7403   | 4.9391   | 0.8012
south      | 5.7403   | 4.8661   | 0.8742
terra      | 5.7392   | 5.0010   | 0.7382
serum      | 5.7390   | 4.9825   | 0.7565
thorn      | 5.7386   | 5.0430   | 0.6956
nadir      | 5.7373   | 5.1092   | 0.6281
today      | 5.7365   | 4.8622   | 0.8743
patio      | 5.7363   | 4.9693   | 0.7670
setup      | 5.7346   | 4.9268   | 0.8078
